Data,Views do Blog,Média Móvel de 7 dias,Média Móvel de 3 dias,Média Móvel de 21 dias
29-Jan-2009,1475,1579.714286,1551.666667,1520.785714
30-Jan-2009,1690,1560.142857,1559.333333,1504.261905
31-Jan-2009,1513,1526.857143,1616.333333,1508.02381
1-Feb-2009,1646,1539,1574,1491.833333
2-Feb-2009,1563,1563,1506.666667,1479.690476
3-Feb-2009,1311,1522.714286,1483,1479.690476
4-Feb-2009,1575,1510.428571,1509.666667,1486.261905
5-Feb-2009,1643,1469.928571,1542,1494.261905
6-Feb-2009,1408,1432.071429,1492.666667,1475.833333
7-Feb-2009,1427,1437.785714,1399.166667,1472.833333
8-Feb-2009,1362.5,1405.071429,1362.5,1466.357143
9-Feb-2009,1298,1355.928571,1337.166667,1460.166667
10-Feb-2009,1351,1383.785714,1331.666667,1459.928571
11-Feb-2009,1346,1379.214286,1332,1459.166667
12-Feb-2009,1299,1433.142857,1416,1443.214286
13-Feb-2009,1603,1435.285714,1432.333333,1436.928571
14-Feb-2009,1395,1453.857143,1579.333333,1454.071429
15-Feb-2009,1740,1455,1482.666667,1454.309524
16-Feb-2009,1313,1461.571429,1511.333333,1446.5
17-Feb-2009,1481,1473.285714,1382.666667,1450.785714
18-Feb-2009,1354,1487.857143,1393.333333,1461.357143
19-Feb-2009,1345,1426.571429,1461.333333,1477.047619
20-Feb-2009,1685,1443.428571,1509,1489
21-Feb-2009,1497,1470.571429,1497.666667,1503.714286
22-Feb-2009,1311,1502.857143,1413,1519.619048
23-Feb-2009,1431,1522,1471,1542.047619
24-Feb-2009,1671,1495.285714,1560.666667,1526.428571
25-Feb-2009,1580,1517,1576.666667,1523.809524
26-Feb-2009,1479,1571.428571,1519,1521.666667
27-Feb-2009,1498,1588.285714,1542,1536.285714
28-Feb-2009,1649,1586.714286,1613,1532.952381
1-Mar-2009,1692,1601,1630,1550.428571
2-Mar-2009,1549,1642.571429,1633.666667,1558.952381
3-Mar-2009,1660,1610.714286,1629.666667,1546.809524
4-Mar-2009,1680,1566.571429,1703.333333,1544.47619
5-Mar-2009,1770,1567,1575,1561.761905
